07/07/17-02:04:40.410365 ,,"(portscan) UDP Filtered Portscan",8.8.8.8,,172.16.0.11,
07/07/17-06:43:26.496351 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,62453
07/07/17-06:44:19.447872 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,63315
07/07/17-06:44:47.456269 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,63694
07/07/17-06:45:03.468691 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,63893
07/07/17-06:45:05.454677 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,63920
07/07/17-06:45:29.459843 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,64221
07/07/17-06:45:59.457204 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,64633
07/07/17-06:46:01.453949 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,64670
07/07/17-06:46:13.444350 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,64811
07/07/17-06:46:37.450330 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,65122
07/07/17-06:46:53.466703 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,65308
07/07/17-06:46:57.449736 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,65372
07/07/17-06:47:01.466568 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,65411
07/07/17-06:48:25.446485 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,50083
07/07/17-06:49:49.437425 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,51154
07/07/17-06:50:47.434447 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,52079
07/07/17-06:52:23.441352 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,53443
07/07/17-06:52:37.445982 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,53629
07/07/17-06:52:47.430171 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,53776
07/07/17-06:53:05.455473 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,53974
07/07/17-06:54:05.442113 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,55003
07/07/17-06:54:51.426342 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,55746
07/07/17-06:55:19.427830 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,56099
07/07/17-06:55:49.428273 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,56665
07/07/17-06:56:59.428311 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,57667
07/07/17-06:57:01.445068 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,57693
07/07/17-06:57:41.666779 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,58320
07/07/17-06:58:33.438733 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,59068
07/07/17-07:01:45.414906 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,62149
07/07/17-07:02:11.422941 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,62696
07/07/17-07:03:57.418922 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,64326
07/07/17-07:05:41.406451 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,49570
07/07/17-07:06:09.413850 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,50056
07/07/17-07:07:17.418609 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,50947
07/07/17-07:07:45.402259 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,51285
07/07/17-07:08:57.402050 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,52228
07/07/17-07:09:19.406644 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,52516
07/07/17-07:09:45.410086 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,52892
07/07/17-07:11:11.406671 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,54026
07/07/17-07:11:57.394588 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,54633
07/07/17-07:12:07.402198 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,54765
07/07/17-07:12:51.397492 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,55349
07/07/17-07:12:59.405718 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,55452
07/07/17-07:15:27.388124 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,57379
07/07/17-07:15:55.386763 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,57747
07/07/17-07:22:25.383216 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,62904
07/07/17-07:22:55.384826 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,63310
07/07/17-07:23:53.372246 ,TCP,"Reset outside window",172.16.0.12,8081,121.6.95.8,64075
