07/30/17-02:03:49.359717 ,,"(portscan) UDP Filtered Portscan",8.8.8.8,,172.16.0.11,
07/30/17-02:32:50.856335 ,TCP,"HoneyPot SMB Port 445 Hit",1.173.56.137,60124,172.16.0.4,445
07/30/17-02:32:51.047727 ,TCP,"HoneyPot SMB Port 445 Hit",1.173.56.137,60124,172.16.0.4,445
07/30/17-02:32:51.048697 ,TCP,"HoneyPot SMB Port 445 Hit",1.173.56.137,60124,172.16.0.4,445
07/30/17-02:32:51.242936 ,TCP,"HoneyPot SMB Port 445 Hit",1.173.56.137,60124,172.16.0.4,445
07/30/17-02:35:24.306335 ,TCP,"HoneyPot SMB Port 445 Hit",218.255.89.26,64216,172.16.0.4,445
07/30/17-02:35:24.544981 ,TCP,"HoneyPot SMB Port 445 Hit",218.255.89.26,64216,172.16.0.4,445
07/30/17-02:35:24.545928 ,TCP,"HoneyPot SMB Port 445 Hit",218.255.89.26,64216,172.16.0.4,445
07/30/17-02:35:24.551573 ,TCP,"HoneyPot SMB Port 445 Hit",218.255.89.26,64221,172.16.0.4,445
07/30/17-02:35:24.788670 ,TCP,"HoneyPot SMB Port 445 Hit",218.255.89.26,64216,172.16.0.4,445
07/30/17-02:35:24.791030 ,TCP,"HoneyPot SMB Port 445 Hit",218.255.89.26,64221,172.16.0.4,445
07/30/17-02:35:24.794128 ,TCP,"HoneyPot SMB Port 445 Hit",218.255.89.26,64221,172.16.0.4,445
07/30/17-02:35:25.034466 ,TCP,"HoneyPot SMB Port 445 Hit",218.255.89.26,64221,172.16.0.4,445
07/30/17-02:35:25.272610 ,TCP,"HoneyPot SMB Port 445 Hit",218.255.89.26,64221,172.16.0.4,445
07/30/17-02:35:25.512276 ,TCP,"HoneyPot SMB Port 445 Hit",218.255.89.26,64221,172.16.0.4,445
07/30/17-02:35:25.752021 ,TCP,"HoneyPot SMB Port 445 Hit",218.255.89.26,64221,172.16.0.4,445
07/30/17-02:35:25.989644 ,TCP,"HoneyPot SMB Port 445 Hit",218.255.89.26,64221,172.16.0.4,445
07/30/17-02:35:28.753349 ,TCP,"HoneyPot SMB Port 445 Hit",218.255.89.26,62320,172.16.0.4,445
07/30/17-02:35:28.992357 ,TCP,"HoneyPot SMB Port 445 Hit",218.255.89.26,62320,172.16.0.4,445
07/30/17-02:35:28.994070 ,TCP,"HoneyPot SMB Port 445 Hit",218.255.89.26,62320,172.16.0.4,445
07/30/17-02:35:29.238596 ,TCP,"HoneyPot SMB Port 445 Hit",218.255.89.26,62320,172.16.0.4,445
07/30/17-02:35:29.477427 ,TCP,"HoneyPot SMB Port 445 Hit",218.255.89.26,62320,172.16.0.4,445
07/30/17-02:35:29.717258 ,TCP,"HoneyPot SMB Port 445 Hit",218.255.89.26,62320,172.16.0.4,445
07/30/17-02:35:29.957373 ,TCP,"HoneyPot SMB Port 445 Hit",218.255.89.26,62320,172.16.0.4,445
07/30/17-02:35:30.196736 ,TCP,"HoneyPot SMB Port 445 Hit",218.255.89.26,62320,172.16.0.4,445
07/30/17-02:35:58.575492 ,TCP,"HoneyPot SMB Port 445 Hit",1.173.56.137,63368,172.16.0.4,445
07/30/17-02:35:58.761787 ,TCP,"HoneyPot SMB Port 445 Hit",1.173.56.137,63368,172.16.0.4,445
07/30/17-02:35:58.761788 ,TCP,"HoneyPot SMB Port 445 Hit",1.173.56.137,63368,172.16.0.4,445
07/30/17-02:35:58.771195 ,TCP,"HoneyPot SMB Port 445 Hit",1.173.56.137,63390,172.16.0.4,445
07/30/17-02:35:58.953850 ,TCP,"HoneyPot SMB Port 445 Hit",1.173.56.137,63368,172.16.0.4,445
07/30/17-02:35:58.966905 ,TCP,"HoneyPot SMB Port 445 Hit",1.173.56.137,63390,172.16.0.4,445
07/30/17-02:35:58.967342 ,TCP,"HoneyPot SMB Port 445 Hit",1.173.56.137,63390,172.16.0.4,445
07/30/17-02:35:59.165460 ,TCP,"HoneyPot SMB Port 445 Hit",1.173.56.137,63390,172.16.0.4,445
07/30/17-02:35:59.362101 ,TCP,"HoneyPot SMB Port 445 Hit",1.173.56.137,63390,172.16.0.4,445
07/30/17-02:35:59.558495 ,TCP,"HoneyPot SMB Port 445 Hit",1.173.56.137,63390,172.16.0.4,445
07/30/17-02:35:59.754574 ,TCP,"HoneyPot SMB Port 445 Hit",1.173.56.137,63390,172.16.0.4,445
07/30/17-02:35:59.950650 ,TCP,"HoneyPot SMB Port 445 Hit",1.173.56.137,63390,172.16.0.4,445
07/30/17-02:36:02.750162 ,TCP,"HoneyPot SMB Port 445 Hit",1.173.56.137,63806,172.16.0.4,445
07/30/17-02:36:02.938109 ,TCP,"HoneyPot SMB Port 445 Hit",1.173.56.137,63806,172.16.0.4,445
07/30/17-02:36:02.938792 ,TCP,"HoneyPot SMB Port 445 Hit",1.173.56.137,63806,172.16.0.4,445
