06/16/17-13:32:01.621468 ,1,368,6,"ICMP PING BSDtype",ICMP,172.16.0.11,,172.16.0.1,,B8:27:EB:87:D4:81,64:D1:54:06:F2:98,0x62,,,,,,64,0,18075,84,86016,8,0,5043,1
06/16/17-13:32:01.621468 ,1,366,7,"ICMP PING *NIX",ICMP,172.16.0.11,,172.16.0.1,,B8:27:EB:87:D4:81,64:D1:54:06:F2:98,0x62,,,,,,64,0,18075,84,86016,8,0,5043,1
06/16/17-13:32:01.621468 ,1,384,5,"ICMP PING",ICMP,172.16.0.11,,172.16.0.1,,B8:27:EB:87:D4:81,64:D1:54:06:F2:98,0x62,,,,,,64,0,18075,84,86016,8,0,5043,1
06/16/17-13:32:01.622090 ,1,408,5,"ICMP Echo Reply",ICMP,172.16.0.1,,172.16.0.11,,64:D1:54:06:F2:98,B8:27:EB:87:D4:81,0x62,,,,,,64,0,60512,84,86016,0,0,5043,1
06/16/17-13:33:39.875157 ,1,402,7,"ICMP Destination Unreachable Port Unreachable",ICMP,172.16.0.1,,172.16.0.11,,64:D1:54:06:F2:98,B8:27:EB:87:D4:81,0x66,,,,,,64,192,60513,88,90112,3,3,0,0
06/16/17-13:49:38.991495 ,1,1418,11,"SNMP request tcp",TCP,172.16.0.10,42706,172.16.0.11,161,00:15:58:31:7A:FB,B8:27:EB:87:D4:81,0x4A,******S*,0xDC00E7F0,0x0,,0x7210,64,0,55911,60,61440,,,,
06/16/17-13:52:35.034225 ,1,1421,11,"SNMP AgentX/tcp request",TCP,172.16.0.10,46326,172.16.0.1,705,00:15:58:31:7A:FB,64:D1:54:06:F2:98,0x4A,******S*,0x5890B9D6,0x0,,0x7210,64,0,20649,60,61440,,,,
06/16/17-13:52:35.084227 ,1,1418,11,"SNMP request tcp",TCP,172.16.0.10,44810,172.16.0.1,161,00:15:58:31:7A:FB,64:D1:54:06:F2:98,0x4A,******S*,0x8B685988,0x0,,0x7210,64,0,45060,60,61440,,,,
06/16/17-13:52:38.158106 ,1,399,6,"ICMP Destination Unreachable Host Unreachable",ICMP,172.16.0.1,,172.16.0.10,,64:D1:54:06:F2:98,00:15:58:31:7A:FB,0x66,,,,,,64,192,4428,88,90112,3,1,0,0
